Order Date,Product Name,Category,Region,Quantity,Sales,Profit
2026-06-28,Tablet,Electronics,West,7,1363.32,382.89
2026-07-11,Headphones,Accessories,South,8,3198.92,822.28
2026-07-09,Camera,Electronics,South,10,4815.34,830.29
2026-06-20,Camera,Electronics,North,4,1003.2,225.38
2026-06-24,Printer,Office,South,10,3275.49,472.94
2026-06-15,Tablet,Electronics,South,9,3323.95,203.96
2026-07-05,Printer,Office,West,9,3841.3,1085.3
2026-06-25,Mobile,Electronics,North,7,2289.13,502.91
2026-06-18,Monitor,Electronics,East,3,2843.5,742.96
2026-07-10,Headphones,Accessories,West,6,2841.44,326.35
2026-06-28,Tablet,Electronics,West,3,3353.92,792.31
2026-06-17,Laptop,Electronics,North,7,1202.85,337.62
2026-07-07,Mobile,Electronics,South,8,2726.42,590.87
2026-06-28,Tablet,Electronics,East,4,895.48,113.3
2026-06-27,Keyboard,Accessories,West,5,182.76,32.5
2026-06-15,Speaker,Accessories,South,8,2490.87,194.56
2026-07-06,Speaker,Accessories,North,9,1434.8,239.61
2026-06-23,Mouse,Accessories,North,1,4581.17,975.4
2026-07-11,Mobile,Electronics,North,10,569.23,147.69
2026-06-13,Camera,Electronics,East,2,2605.37,526.19
2026-06-21,Monitor,Electronics,West,9,3544.93,668.3
2026-06-24,Printer,Office,North,3,3148.03,849.74
2026-06-25,Mobile,Electronics,South,9,3140.49,177.28
2026-06-18,Laptop,Electronics,South,1,392.39,93.81
2026-07-03,Headphones,Accessories,West,7,1439.46,347.98
2026-07-06,Tablet,Electronics,West,9,770.09,223.26
2026-06-25,Speaker,Accessories,East,10,568.09,168.04
2026-07-06,Headphones,Accessories,South,5,3484.28,747.37
2026-07-03,Mouse,Accessories,South,3,4125.09,398.78
2026-07-10,Printer,Office,West,6,2760.02,239.46
2026-06-26,Keyboard,Accessories,North,4,2655.39,203.47
2026-06-19,Monitor,Electronics,North,7,685.83,196.71
2026-07-10,Laptop,Electronics,East,1,1923.71,451.09
2026-06-28,Mouse,Accessories,South,10,3602.82,561.48
2026-06-18,Mobile,Electronics,North,4,4372.11,847.09
2026-06-13,Camera,Electronics,South,1,3864.49,699.27
2026-06-28,Speaker,Accessories,North,9,4655.23,1327.37
2026-06-30,Laptop,Electronics,North,5,3403.44,353.86
2026-06-17,Headphones,Accessories,North,2,2777.78,724.1
2026-06-13,Monitor,Electronics,North,1,1816.43,388.41
2026-06-27,Keyboard,Accessories,East,9,135.01,21.72
2026-07-02,Mobile,Electronics,East,1,3296.68,469.72
2026-06-17,Laptop,Electronics,West,8,3240.79,882.2
2026-06-17,Speaker,Accessories,West,10,359.34,99.11
2026-07-01,Headphones,Accessories,South,8,304.9,78.31
2026-07-04,Keyboard,Accessories,East,6,4188.83,397.95
2026-07-11,Mouse,Accessories,East,9,740.55,137.88
2026-07-02,Laptop,Electronics,East,6,3895.77,263.98
2026-07-11,Mobile,Electronics,South,7,312.7,22.65
2026-06-30,Keyboard,Accessories,West,7,1164.84,296.91
2026-06-12,Speaker,Accessories,East,9,512.59,127.65
2026-06-17,Speaker,Accessories,West,3,558.23,67.5
2026-07-03,Tablet,Electronics,South,4,4192.66,1113.15
2026-06-29,Camera,Electronics,North,5,3752.38,868.67
2026-07-08,Speaker,Accessories,West,6,4035.34,285.11
2026-06-17,Camera,Electronics,East,9,663.08,167.7
2026-06-14,Camera,Electronics,North,5,3423.96,914.02
2026-07-10,Mobile,Electronics,East,10,4426.89,1146.58
2026-07-10,Headphones,Accessories,North,5,3377.54,215.05
2026-07-11,Tablet,Electronics,North,8,778.07,196.86
2026-06-22,Laptop,Electronics,North,10,983.16,258.82
2026-07-02,Camera,Electronics,North,1,4880.79,952.52
2026-06-22,Laptop,Electronics,East,10,329.61,80.38
2026-07-08,Speaker,Accessories,South,5,3089.52,206.5
2026-06-19,Camera,Electronics,West,9,1329.62,219.56
2026-06-24,Printer,Office,East,3,3107.21,527.87
2026-06-12,Monitor,Electronics,South,9,3713.67,958.65
2026-07-02,Camera,Electronics,South,9,1352.83,81.22
2026-07-01,Keyboard,Accessories,South,3,1399.06,377.61
2026-06-30,Mobile,Electronics,West,7,1358.87,136.69
2026-06-19,Mobile,Electronics,North,1,1444.06,296.68
2026-06-14,Mouse,Accessories,North,5,3293.8,600.1
2026-07-05,Keyboard,Accessories,West,3,4859.06,987.19
2026-06-30,Mouse,Accessories,South,10,143.4,28.72
2026-06-14,Keyboard,Accessories,West,4,1158.79,270.23
2026-07-05,Mobile,Electronics,West,6,1942.75,232.26
2026-06-13,Tablet,Electronics,South,9,3559.52,482.62
2026-06-27,Mouse,Accessories,South,8,3734.7,1088.63
2026-06-26,Mobile,Electronics,East,8,3528.8,235.06
2026-06-21,Printer,Office,South,3,818.1,164.16
2026-06-28,Printer,Office,North,1,4242.83,514.43
2026-06-17,Printer,Office,South,6,1376.32,216.76
2026-06-22,Keyboard,Accessories,South,5,3591.44,1008.95
2026-06-20,Laptop,Electronics,North,5,3970.0,1167.22
2026-06-30,Headphones,Accessories,North,4,3719.9,467.46
2026-07-08,Tablet,Electronics,West,2,2701.16,539.27
2026-07-10,Mouse,Accessories,South,5,1208.72,340.09
2026-06-18,Mouse,Accessories,West,3,978.63,57.32
2026-07-05,Laptop,Electronics,West,1,4311.9,768.74
2026-06-25,Camera,Electronics,West,4,2165.08,421.99
2026-07-07,Mobile,Electronics,West,3,2076.91,617.72
2026-06-12,Tablet,Electronics,South,8,1303.15,73.58
2026-07-12,Monitor,Electronics,South,3,262.21,16.27
2026-07-03,Printer,Office,North,2,2341.13,674.46
2026-06-21,Keyboard,Accessories,West,5,2363.65,282.81
2026-06-14,Laptop,Electronics,West,7,2742.57,419.27
2026-07-09,Headphones,Accessories,East,8,2960.99,593.97
2026-07-10,Mouse,Accessories,South,3,2474.65,272.75
2026-06-14,Monitor,Electronics,West,9,776.28,149.69
2026-07-03,Speaker,Accessories,West,9,3572.92,612.94
2026-07-12,Monitor,Electronics,South,3,4202.07,1248.12
2026-06-28,Keyboard,Accessories,West,10,1259.9,78.88
2026-07-12,Mouse,Accessories,North,6,1345.67,384.68
2026-07-09,Headphones,Accessories,West,2,488.23,60.98
2026-06-23,Camera,Electronics,East,3,726.62,174.88
2026-06-23,Headphones,Accessories,West,9,2885.18,202.71
2026-07-05,Laptop,Electronics,East,1,324.39,23.5
2026-07-09,Camera,Electronics,West,8,274.15,54.41
2026-07-07,Keyboard,Accessories,East,4,4140.53,412.11
2026-07-07,Keyboard,Accessories,West,8,2445.32,506.43
2026-07-01,Mobile,Electronics,North,7,2821.54,767.14
2026-07-10,Mobile,Electronics,South,10,4995.59,943.84
2026-06-24,Speaker,Accessories,East,2,4879.15,726.18
2026-07-12,Mobile,Electronics,North,1,2743.64,815.45
2026-06-24,Camera,Electronics,South,3,250.57,17.21
2026-07-03,Keyboard,Accessories,East,8,2784.82,780.06
2026-07-03,Keyboard,Accessories,North,2,4176.89,582.31
2026-06-20,Tablet,Electronics,North,3,2092.12,554.93
2026-07-07,Laptop,Electronics,East,9,4470.89,1275.55
2026-07-11,Speaker,Accessories,East,4,1818.2,328.48
2026-07-02,Printer,Office,South,1,992.34,117.31
2026-07-10,Headphones,Accessories,East,7,2625.88,717.13
2026-06-15,Mouse,Accessories,North,6,945.17,227.43
2026-06-15,Tablet,Electronics,South,2,3212.72,527.59
2026-06-25,Keyboard,Accessories,East,4,3536.2,955.96
2026-07-12,Monitor,Electronics,North,7,259.66,13.2
2026-06-30,Keyboard,Accessories,West,6,992.23,238.52
2026-07-04,Mouse,Accessories,North,10,4022.55,389.51
2026-06-25,Monitor,Electronics,East,8,4491.05,1014.65
2026-06-18,Laptop,Electronics,East,10,4254.05,1079.37
