Order Date,Product Name,Category,Region,Quantity,Sales,Profit
2026-06-29,Keyboard,Accessories,South,9,4367.4,230.01
2026-06-25,Speaker,Accessories,West,5,2249.44,203.97
2026-06-19,Headphones,Accessories,West,9,3770.23,658.27
2026-07-03,Mobile,Electronics,North,7,3526.25,885.74
2026-07-02,Laptop,Electronics,East,7,3570.25,565.93
2026-06-26,Mobile,Electronics,West,10,929.21,155.93
2026-06-17,Headphones,Accessories,West,1,4315.72,548.04
2026-06-30,Tablet,Electronics,North,7,4123.92,390.66
2026-07-03,Laptop,Electronics,North,1,809.57,73.54
2026-06-26,Laptop,Electronics,North,6,2890.64,729.32
2026-06-26,Tablet,Electronics,South,1,3867.44,283.61
2026-07-07,Tablet,Electronics,West,10,2089.0,437.74
2026-06-14,Camera,Electronics,North,10,342.41,81.83
2026-06-14,Tablet,Electronics,South,8,1490.82,363.0
2026-06-30,Mouse,Accessories,North,7,226.05,25.12
2026-07-11,Headphones,Accessories,East,8,2005.85,513.64
2026-06-16,Mouse,Accessories,South,3,3478.88,1002.83
2026-07-07,Printer,Office,West,8,4224.91,384.22
2026-06-17,Camera,Electronics,East,1,2470.87,226.03
2026-07-12,Headphones,Accessories,West,5,2885.43,391.88
2026-06-21,Keyboard,Accessories,West,9,4330.96,544.74
2026-06-30,Tablet,Electronics,South,10,252.16,25.5
2026-06-20,Laptop,Electronics,East,2,1025.39,90.06
2026-06-15,Mobile,Electronics,North,3,958.69,177.17
2026-06-26,Keyboard,Accessories,South,10,4708.65,1291.16
2026-06-25,Camera,Electronics,South,3,3683.14,742.22
2026-06-16,Headphones,Accessories,North,8,4598.62,877.43
2026-07-10,Camera,Electronics,South,10,3022.61,411.56
2026-06-13,Camera,Electronics,West,8,237.19,28.98
2026-06-18,Mouse,Accessories,East,3,3796.48,639.79
2026-06-25,Mobile,Electronics,West,4,437.06,123.92
2026-07-05,Mobile,Electronics,North,1,4004.05,776.3
2026-06-19,Monitor,Electronics,South,6,2303.91,297.68
2026-07-10,Camera,Electronics,North,6,711.77,159.87
2026-07-12,Speaker,Accessories,North,3,651.74,177.1
2026-06-19,Speaker,Accessories,North,4,3277.73,696.34
2026-06-27,Tablet,Electronics,South,6,3253.69,288.35
2026-06-25,Keyboard,Accessories,South,5,617.01,30.93
2026-07-06,Mouse,Accessories,East,3,3126.51,564.89
2026-06-17,Mouse,Accessories,West,9,1991.2,200.03
2026-06-15,Headphones,Accessories,West,6,4703.88,527.44
2026-06-15,Laptop,Electronics,South,6,4113.56,388.51
2026-07-01,Headphones,Accessories,East,3,879.14,67.1
2026-06-25,Monitor,Electronics,South,10,1428.48,101.02
2026-06-14,Speaker,Accessories,East,1,1711.07,207.11
